index,H
0,-1.0002339779553761682181524383938864275478e-06
1,-9.9992854754661413518564225949569745921508e-07
2,-9.9990035069416949284662986252580907375886e-07
3,-1.0001206254304483022916222312304057595611e-06
4,-9.9992854754661413518564225949569745921508e-07
5,-9.9990035069416949284662986252580907375886e-07
6,-1.0001206254304483022916222312304057595611e-06
7,-9.9992854754661413518564225949569745921508e-07
8,-9.9995718123653559834763861896567149756265e-07
9,-9.9970122884411401156681906826628747353425e-07
10,-9.9990035069416949284662986252580907375886e-07
11,-1.0001206254304483022916222312304057595611e-06
12,-9.9992854754661413518564225949569745921508e-07
13,-9.9990035069416949284662986252580907375886e-07
14,-1.0001206254304483022916222312304057595611e-06
15,-9.9992854754661413518564225949569745921508e-07
16,-9.9990035069416949284662986252580907375886e-07
17,-1.0001206254304483022916222312304057595611e-06
18,-9.9992854754661413518564225949569745921508e-07
19,-9.9990035069416949284662986252580907375886e-07
20,-1.0001206254304483022916222312304057595611e-06
21,-9.9992854754661413518564225949569745921508e-07
22,-9.9990035069416949284662986252580907375886e-07
23,-1.0001206254304483022916222312304057595611e-06
24,-9.9992854754661413518564225949569745921508e-07
25,-9.9990035069416949284662986252580907375886e-07
26,-1.0001206254304483022916222312304057595611e-06
27,-9.9992854754661413518564225949569745921508e-07
28,-9.9990035069416949284662986252580907375886e-07
29,-1.0001206254304483022916222312304057595611e-06
30,-9.9992854754661413518564225949569745921508e-07
31,-9.9995718123653559834763861896567149756265e-07
32,-9.9970122884411401156681906826628747353425e-07
33,-9.9990035069416949284662986252580907375886e-07
34,-1.0001206254304483022916222312304057595611e-06
35,-9.9992854754661413518564225949569745921508e-07
36,-9.9990035069416949284662986252580907375886e-07
37,-1.0001206254304483022916222312304057595611e-06
38,-9.9992854754661413518564225949569745921508e-07
39,-9.9990035069416949284662986252580907375886e-07
40,-1.0001206254304483022916222312304057595611e-06
41,-9.9992854754661413518564225949569745921508e-07
42,-9.9995718123653559834763861896567149756265e-07
43,-9.9970122884411401156681906826628747353425e-07
44,-9.9990035069416949284662986252580907375886e-07
45,-1.0001206254304483022916222312304057595611e-06
46,-9.9992854754661413518564225949569745921508e-07
47,-9.9990035069416949284662986252580907375886e-07
48,-1.0001206254304483022916222312304057595611e-06
49,-9.9992854754661413518564225949569745921508e-07
50,-9.9990035069416949284662986252580907375886e-07
51,-1.0001206254304483022916222312304057595611e-06
52,-9.9992854754661413518564225949569745921508e-07
53,-9.9990035069416949284662986252580907375886e-07
54,-1.0001206254304483022916222312304057595611e-06
55,-9.9992854754661413518564225949569745921508e-07
56,-9.9990035069416949284662986252580907375886e-07
57,-1.0001206254304483022916222312304057595611e-06
58,-9.9992854754661413518564225949569745921508e-07
59,-9.9990035069416949284662986252580907375886e-07
60,-1.0001206254304483022916222312304057595611e-06
61,-9.9992854754661413518564225949569745921508e-07
62,-9.9990035069416949284662986252580907375886e-07
63,-1.0001206254304483022916222312304057595611e-06
64,-9.9992854754661413518564225949569745921508e-07
65,-9.9990035069416949284662986252580907375886e-07
66,-1.0001206254304483022916222312304057595611e-06
67,-9.9992854754661413518564225949569745921508e-07
68,-9.9990035069416949284662986252580907375886e-07
69,-1.0001206254304483022916222312304057595611e-06
70,-9.9992854754661413518564225949569745921508e-07
71,-9.9995718123653559834763861896567149756265e-07
72,-9.9970122884411401156681906826628747353425e-07
73,-9.9990035069416949284662986252580907375886e-07
74,-1.0001206254304483022916222312304057595611e-06
75,-9.9992854754661413518564225949569745921508e-07
76,-9.9995718123653559834763861896567149756265e-07
77,-9.9970122884411401156681906826628747353425e-07
78,-9.9990035069416949284662986252580907375886e-07
79,-1.0001206254304483022916222312304057595611e-06
80,-9.9992854754661413518564225949569745921508e-07
81,-9.9990035069416949284662986252580907375886e-07
82,-1.0001206254304483022916222312304057595611e-06
83,-9.9992854754661413518564225949569745921508e-07
84,-9.9990035069416949284662986252580907375886e-07
85,-1.0001206254304483022916222312304057595611e-06
86,-9.9992854754661413518564225949569745921508e-07
87,-9.9990035069416949284662986252580907375886e-07
88,-1.0001206254304483022916222312304057595611e-06
89,-9.9992854754661413518564225949569745921508e-07
90,-9.9990035069416949284662986252580907375886e-07
91,-1.0001206254304483022916222312304057595611e-06
92,-9.9992854754661413518564225949569745921508e-07
93,-9.9990035069416949284662986252580907375886e-07
94,-1.0001206254304483022916222312304057595611e-06
95,-9.9992854754661413518564225949569745921508e-07
96,-9.9990035069416949284662986252580907375886e-07
97,-1.0001206254304483022916222312304057595611e-06
98,-9.9992854754661413518564225949569745921508e-07
99,-1.0000989143630055448758045880119915693740e-06
100,-9.9989528871418113033535043920885243551311e-07
101,-1.0002002163688274859090331786459771024056e-06
102,-1.0000974593553143957881668146825404619449e-06
103,-1.0000085788337554369763302691831441393333e-06
104,-9.9983110213450364471825682760597331366625e-07
105,-9.9997314382077793632191010236853756509845e-07
106,-1.0000974593553143957881668146825404619449e-06
107,-1.0000085788337554369763302691831441393333e-06
108,-1.0002002163688274859090331786459771024056e-06
109,-1.0000974593553143957881668146825404619449e-06
110,-1.0000085788337554369763302691831441393333e-06
111,-1.0002002163688274859090331786459771024056e-06
112,-1.0000974593553143957881668146825404619449e-06
113,-1.0000085788337554369763302691831441393333e-06
114,-9.9983110213450364471825682760597331366625e-07
115,-9.9997314382077793632191010236853756509845e-07
116,-1.0000974593553143957881668146825404619449e-06
117,-1.0000085788337554369763302691831441393333e-06
118,-1.0002002163688274859090331786459771024056e-06
119,-1.0000974593553143957881668146825404619449e-06
120,-1.0000085788337554369763302691831441393333e-06
121,-1.0002002163688274859090331786459771024056e-06
122,-1.0000974593553143957881668146825404619449e-06
123,-1.0000085788337554369763302691831441393333e-06
124,-9.9983110213450364471825682760597331366625e-07
125,-9.9997314382077793632191010236853756509845e-07
126,-1.0000974593553143957881668146825404619449e-06
127,-1.0000085788337554369763302691831441393333e-06
128,-1.0002002163688274859090331786459771024056e-06
129,-1.0000974593553143957881668146825404619449e-06
130,-1.0000085788337554369763302691831441393333e-06
131,-9.9983110213450364471825682760597331366625e-07
132,-9.9997314382077793632191010236853756509845e-07
133,-1.0000974593553143957881668146825404619449e-06
134,-1.0000085788337554369763302691831441393333e-06
135,-1.0002002163688274859090331786459771024056e-06
136,-1.0000974593553143957881668146825404619449e-06
137,-1.0000085788337554369763302691831441393333e-06
138,-1.0002002163688274859090331786459771024056e-06
139,-1.0000974593553143957881668146825404619449e-06
140,-1.0000085788337554369763302691831441393333e-06
141,-9.9983110213450364471825682760597331366625e-07
142,-9.9997314382077793632191010236853756509845e-07
143,-1.0000974593553143957881668146825404619449e-06
144,-1.0000085788337554369763302691831441393333e-06
145,-1.0002002163688274859090331786459771024056e-06
146,-1.0000974593553143957881668146825404619449e-06
147,-1.0000085788337554369763302691831441393333e-06
148,-1.0002002163688274859090331786459771024056e-06
149,-1.0000974593553143957881668146825404619449e-06
150,-1.0000085788337554369763302691831441393333e-06
151,-9.9983110213450364471825682760597331366625e-07
152,-9.9997314382077793632191010236853756509845e-07
153,-1.0000974593553143957881668146825404619449e-06
154,-1.0000085788337554369763302691831441393333e-06
155,-1.0002002163688274859090331786459771024056e-06
156,-1.0000974593553143957881668146825404619449e-06
157,-1.0000085788337554369763302691831441393333e-06
158,-1.0002002163688274859090331786459771024056e-06
159,-1.0000974593553143957881668146825404619449e-06
160,-1.0000085788337554369763302691831441393333e-06
161,-9.9983110213450364471825682760597331366625e-07
162,-9.9997314382077793632191010236853756509845e-07
163,-1.0000974593553143957881668146825404619449e-06
164,-1.0000085788337554369763302691831441393333e-06
165,-1.0002002163688274859090331786459771024056e-06
166,-1.0000974593553143957881668146825404619449e-06
167,-1.0000085788337554369763302691831441393333e-06
168,-9.9983110213450364471825682760597331366625e-07
169,-9.9997314382077793632191010236853756509845e-07
170,-1.0000974593553143957881668146825404619449e-06
171,-1.0000085788337554369763302691831441393333e-06
172,-1.0002002163688274859090331786459771024056e-06
173,-1.0000974593553143957881668146825404619449e-06
174,-1.0000085788337554369763302691831441393333e-06
175,-1.0002002163688274859090331786459771024056e-06
176,-1.0000974593553143957881668146825404619449e-06
177,-1.0000085788337554369763302691831441393333e-06
178,-1.0002002163688274859090331786459771024056e-06
179,-1.0002963315839547928928288458849671371809e-06
180,-9.9992854754661413518564225949569745921508e-07
181,-9.9990035069416949284662986252580907375886e-07
182,-1.0001206254304483022916222312304057595611e-06
183,-9.9992854754661413518564225949569745921508e-07
184,-9.9990035069416949284662986252580907375886e-07
185,-1.0001206254304483022916222312304057595611e-06
186,-9.9992854754661413518564225949569745921508e-07
187,-9.9990035069416949284662986252580907375886e-07
188,-1.0001206254304483022916222312304057595611e-06
189,-9.9992854754661413518564225949569745921508e-07
190,-9.9995718123653559834763861896567149756265e-07
191,-9.9970122884411401156681906826628747353425e-07
192,-9.9990035069416949284662986252580907375886e-07
193,-1.0001206254304483022916222312304057595611e-06
194,-9.9992854754661413518564225949569745921508e-07
195,-9.9990035069416949284662986252580907375886e-07
196,-1.0001206254304483022916222312304057595611e-06
197,-9.9992854754661413518564225949569745921508e-07
198,-9.9990035069416949284662986252580907375886e-07
199,-1.0001206254304483022916222312304057595611e-06
200,-9.9992854754661413518564225949569745921508e-07
201,-9.9990035069416949284662986252580907375886e-07
202,-1.0001206254304483022916222312304057595611e-06
203,-9.9992854754661413518564225949569745921508e-07
204,-9.9990035069416949284662986252580907375886e-07
205,-1.0001206254304483022916222312304057595611e-06
206,-9.9992854754661413518564225949569745921508e-07
207,-9.9990035069416949284662986252580907375886e-07
208,-1.0001206254304483022916222312304057595611e-06
209,-9.9992854754661413518564225949569745921508e-07
210,-9.9995718123653559834763861896567149756265e-07
211,-9.9970122884411401156681906826628747353425e-07
212,-9.9990035069416949284662986252580907375886e-07
213,-1.0001206254304483022916222312304057595611e-06
214,-9.9992854754661413518564225949569745921508e-07
215,-9.9990035069416949284662986252580907375886e-07
216,-1.0001206254304483022916222312304057595611e-06
217,-9.9992854754661413518564225949569745921508e-07
218,-9.9990035069416949284662986252580907375886e-07
219,-1.0001206254304483022916222312304057595611e-06
220,-9.9992854754661413518564225949569745921508e-07
221,-9.9990035069416949284662986252580907375886e-07
222,-1.0001206254304483022916222312304057595611e-06
223,-9.9992854754661413518564225949569745921508e-07
224,-9.9990035069416949284662986252580907375886e-07
225,-1.0001206254304483022916222312304057595611e-06
226,-9.9992854754661413518564225949569745921508e-07
227,-9.9995718123653559834763861896567149756265e-07
228,-9.9970122884411401156681906826628747353425e-07
229,-9.9990035069416949284662986252580907375886e-07
230,-1.0001206254304483022916222312304057595611e-06
231,-9.9992854754661413518564225949569745921508e-07
232,-9.9990035069416949284662986252580907375886e-07
233,-1.0001206254304483022916222312304057595611e-06
234,-9.9992854754661413518564225949569745921508e-07
235,-9.9990035069416949284662986252580907375886e-07
236,-1.0001206254304483022916222312304057595611e-06
237,-9.9992854754661413518564225949569745921508e-07
238,-9.9990035069416949284662986252580907375886e-07
239,-1.0001206254304483022916222312304057595611e-06
240,-9.9992854754661413518564225949569745921508e-07
241,-9.9990035069416949284662986252580907375886e-07
242,-1.0001206254304483022916222312304057595611e-06
243,-9.9992854754661413518564225949569745921508e-07
244,-9.9990035069416949284662986252580907375886e-07
245,-1.0001206254304483022916222312304057595611e-06
246,-9.9992854754661413518564225949569745921508e-07
247,-9.9995718123653559834763861896567149756265e-07
248,-9.9970122884411401156681906826628747353425e-07
249,-9.9990035069416949284662986252580907375886e-07
250,-1.0001206254304483022916222312304057595611e-06
251,-9.9992854754661413518564225949569745921508e-07
252,-9.9990035069416949284662986252580907375886e-07
253,-1.0001206254304483022916222312304057595611e-06
254,-9.9992854754661413518564225949569745921508e-07
255,-9.9990035069416949284662986252580907375886e-07
256,-1.0001206254304483022916222312304057595611e-06
257,-9.9992854754661413518564225949569745921508e-07
258,-9.9990035069416949284662986252580907375886e-07
259,-1.0001206254304483022916222312304057595611e-06
260,-9.9992854754661413518564225949569745921508e-07
261,-9.9990035069416949284662986252580907375886e-07
262,-1.0001206254304483022916222312304057595611e-06
263,-9.9992854754661413518564225949569745921508e-07
264,-9.9995718123653559834763861896567149756265e-07
265,-9.9970122884411401156681906826628747353425e-07
266,-9.9990035069416949284662986252580907375886e-07
267,-1.0001206254304483022916222312304057595611e-06
268,-9.9992854754661413518564225949569745921508e-07
269,-9.9990035069416949284662986252580907375886e-07
270,-1.0001206254304483022916222312304057595611e-06
271,-9.9992854754661413518564225949569745921508e-07
272,-9.9990035069416949284662986252580907375886e-07
273,-1.0001206254304483022916222312304057595611e-06
274,-9.9992854754661413518564225949569745921508e-07
275,-9.9990035069416949284662986252580907375886e-07
276,-1.0001206254304483022916222312304057595611e-06
277,-9.9992854754661413518564225949569745921508e-07
278,-9.9990035069416949284662986252580907375886e-07
279,-1.0001206254304483022916222312304057595611e-06
280,-9.9992854754661413518564225949569745921508e-07
281,-9.9990035069416949284662986252580907375886e-07
282,-1.0001206254304483022916222312304057595611e-06
283,-9.9992854754661413518564225949569745921508e-07
284,-9.9995718123653559834763861896567149756265e-07
285,-9.9970122884411401156681906826628747353425e-07
286,-9.9990035069416949284662986252580907375886e-07
287,-1.0001206254304483022916222312304057595611e-06
288,-9.9992854754661413518564225949569745921508e-07
289,-9.9990035069416949284662986252580907375886e-07
290,-1.0001206254304483022916222312304057595611e-06
291,-9.9992854754661413518564225949569745921508e-07
292,-9.9990035069416949284662986252580907375886e-07
293,-1.0001206254304483022916222312304057595611e-06
294,-9.9992854754661413518564225949569745921508e-07
295,-9.9990035069416949284662986252580907375886e-07
296,-1.0001206254304483022916222312304057595611e-06
297,-9.9992854754661413518564225949569745921508e-07
298,-9.9990035069416949284662986252580907375886e-07
299,-1.0001206254304483022916222312304057595611e-06
300,-9.9992854754661413518564225949569745921508e-07
