index,H
0,-9.9988262756369632785341527991818111331668e-07
1,-1.0001137813792290161507515452998795524309e-06
2,-9.9995221718798916809645485614943538621446e-07
3,-1.0000797497985696215335327946549526245690e-06
4,-1.0001245984613757111298315213843146409545e-06
5,-1.0001137813792290161507515452998795524309e-06
6,-9.9995221718798916809645485614943538621446e-07
7,-1.0000797497985696215335327946549526245690e-06
8,-1.0001245984613757111298315213843146409545e-06
9,-1.0001137813792290161507515452998795524309e-06
10,-9.9995221718798916809645485614943538621446e-07
11,-1.0000797497985696215335327946549526245690e-06
12,-1.0001245984613757111298315213843146409545e-06
13,-1.0001137813792290161507515452998795524309e-06
14,-9.9995221718798916809645485614943538621446e-07
15,-1.0000797497985696215335327946549526245690e-06
16,-1.0001245984613757111298315213843146409545e-06
17,-1.0001137813792290161507515452998795524309e-06
18,-9.9995221718798916809645485614943538621446e-07
19,-1.0000797497985696215335327946549526245690e-06
20,-1.0001245984613757111298315213843146409545e-06
21,-1.0001137813792290161507515452998795524309e-06
22,-9.9995221718798916809645485614943538621446e-07
23,-1.0001246772602705766285228691780950782686e-06
24,-1.0001137813792290161507515452998795524309e-06
25,-9.9995221718798916809645485614943538621446e-07
26,-1.0000797497985696215335327946549526245690e-06
27,-1.0001245984613757111298315213843146409545e-06
28,-1.0001137813792290161507515452998795524309e-06
29,-9.9995221718798916809645485614943538621446e-07
30,-1.0000797497985696215335327946549526245690e-06
31,-1.0001245984613757111298315213843146409545e-06
32,-1.0001137813792290161507515452998795524309e-06
33,-9.9995221718798916809645485614943538621446e-07
34,-1.0001246772602705766285228691780950782686e-06
35,-1.0001137813792290161507515452998795524309e-06
36,-9.9995221718798916809645485614943538621446e-07
37,-1.0000797497985696215335327946549526245690e-06
38,-1.0000797497985696215335327946549526245690e-06
39,-1.0001245984613757111298315213843146409545e-06
40,-1.0001137813792290161507515452998795524309e-06
41,-9.9995221718798916809645485614943538621446e-07
42,-1.0001246772602705766285228691780950782686e-06
43,-1.0001137813792290161507515452998795524309e-06
44,-9.9995221718798916809645485614943538621446e-07
45,-1.0000797497985696215335327946549526245690e-06
46,-1.0000797497985696215335327946549526245690e-06
47,-1.0001245984613757111298315213843146409545e-06
48,-1.0001137813792290161507515452998795524309e-06
49,-9.9995221718798916809645485614943538621446e-07
50,-1.0001246772602705766285228691780950782686e-06
51,-1.0001137813792290161507515452998795524309e-06
52,-9.9995221718798916809645485614943538621446e-07
53,-1.0001246772602705766285228691780950782686e-06
54,-1.0001137813792290161507515452998795524309e-06
55,-9.9995221718798916809645485614943538621446e-07
56,-1.0000797497985696215335327946549526245690e-06
57,-1.0000797497985696215335327946549526245690e-06
58,-1.0001245984613757111298315213843146409545e-06
59,-1.0001137813792290161507515452998795524309e-06
60,-9.9995221718798916809645485614943538621446e-07
61,-1.0001246772602705766285228691780950782686e-06
62,-1.0001137813792290161507515452998795524309e-06
63,-9.9995221718798916809645485614943538621446e-07
64,-1.0000797497985696215335327946549526245690e-06
65,-1.0000797497985696215335327946549526245690e-06
66,-1.0001245984613757111298315213843146409545e-06
67,-1.0001137813792290161507515452998795524309e-06
68,-9.9995221718798916809645485614943538621446e-07
69,-1.0001246772602705766285228691780950782686e-06
70,-1.0001137813792290161507515452998795524309e-06
71,-9.9995221718798916809645485614943538621446e-07
72,-1.0001246772602705766285228691780950782686e-06
73,-1.0001586322308929670536455439067147210608e-06
74,-1.0000686941202286059235870493977493822513e-06
75,-9.9988534440682985857085877251515526609182e-07
76,-1.0000239746107072544859190391108860751501e-06
77,-1.0001246772602705766285228691780950782686e-06
78,-1.0001137813792290161507515452998795524309e-06
79,-9.9995221718798916809645485614943538621446e-07
80,-1.0002232690217219404421253314829698410904e-06
81,-9.9997487994626941192966365634653413962951e-07
82,-9.9992102083813970077091817095782388946645e-07
