index,H
0,-1.0000119080353724716568987809783841669287e-06
1,-9.9999227030365376636125099990559661478073e-07
2,-9.9998734132166254750726224614920667477236e-07
3,-9.9998338943719176422878121279769203511023e-07
4,-1.0000119958585254405003311592436965327124e-06
5,-9.9998734132166254750726224614920667477236e-07
6,-9.9998338943719176422878121279769203511023e-07
7,-1.0000119958585254405003311592436965327124e-06
8,-9.9998734132166254750726224614920667477236e-07
9,-9.9998338943719176422878121279769203511023e-07
10,-1.0000119958585254405003311592436965327124e-06
11,-9.9998734132166254750726224614920667477236e-07
12,-1.0000031143903816310987680421318302137479e-06
13,-1.0000031143903816310987680421318302137479e-06
14,-1.0000119958585254405003311592436965327124e-06
15,-9.9998732026280437528667922181258020941641e-07
16,-9.9999229196419374585092735424618481943071e-07
17,-9.9998734132166254750726224614920667477236e-07
18,-1.0000031143903816310987680421318302137479e-06
19,-1.0000031143903816310987680421318302137479e-06
20,-1.0000119958585254405003311592436965327124e-06
21,-9.9998734132166254750726224614920667477236e-07
22,-9.9998338943719176422878121279769203511023e-07
23,-1.0000119958585254405003311592436965327124e-06
24,-9.9998734132166254750726224614920667477236e-07
25,-9.9998338943719176422878121279769203511023e-07
26,-1.0000119958585254405003311592436965327124e-06
27,-9.9998734132166254750726224614920667477236e-07
28,-9.9998338943719176422878121279769203511023e-07
29,-1.0000119958585254405003311592436965327124e-06
30,-9.9998734132166254750726224614920667477236e-07
31,-1.0000031143903816310987680421318302137479e-06
32,-1.0000031143903816310987680421318302137479e-06
33,-1.0000119958585254405003311592436965327124e-06
34,-9.9998732026280437528667922181258020941641e-07
35,-9.9999229196419374585092735424618481943071e-07
36,-9.9998734132166254750726224614920667477236e-07
37,-1.0000031143903816310987680421318302137479e-06
38,-1.0000031143903816310987680421318302137479e-06
39,-1.0000119958585254405003311592436965327124e-06
40,-9.9998732026280437528667922181258020941641e-07
41,-9.9999229196419374585092735424618481943071e-07
42,-9.9998734132166254750726224614920667477236e-07
43,-1.0000031143903816310987680421318302137479e-06
44,-1.0000031143903816310987680421318302137479e-06
45,-1.0000119958585254405003311592436965327124e-06
46,-9.9998732026280437528667922181258020941641e-07
47,-9.9999229196419374585092735424618481943071e-07
48,-9.9998734132166254750726224614920667477236e-07
49,-1.0000031143903816310987680421318302137479e-06
50,-1.0000031143903816310987680421318302137479e-06
51,-1.0000119958585254405003311592436965327124e-06
52,-9.9998732026280437528667922181258020941641e-07
53,-9.9999229196419374585092735424618481943071e-07
54,-9.9998734132166254750726224614920667477236e-07
55,-1.0000031143903816310987680421318302137479e-06
56,-1.0000228399452533052378482014699301316796e-06
57,-1.0000031143903816310987680421318302137479e-06
58,-1.0000119958585254405003311592436965327124e-06
59,-9.9998734132166254750726224614920667477236e-07
60,-9.9993575745556180121246386827138508124335e-07
61,-1.0000021035986882470252695709334034290805e-06
62,-1.0000184792122895039524549040677037226033e-06
63,-9.9993575745556180121246386827138508124335e-07
64,-1.0000021035986882470252695709334034290805e-06
65,-1.0000184792122895039524549040677037226033e-06
66,-9.9993575745556180121246386827138508124335e-07
67,-1.0000021035986882470252695709334034290805e-06
68,-1.0000184792122895039524549040677037226033e-06
69,-9.9995546134989349586186767326889679452506e-07
70,-1.0000382264277009458229746041713070781043e-06
71,-9.9993575745556180121246386827138508124335e-07
72,-1.0000021035986882470252695709334034290805e-06
73,-1.0000184792122895039524549040677037226033e-06
74,-9.9993575745556180121246386827138508124335e-07
75,-1.0000021035986882470252695709334034290805e-06
76,-1.0000184792122895039524549040677037226033e-06
77,-9.9993575745556180121246386827138508124335e-07
78,-1.0000021035986882470252695709334034290805e-06
79,-1.0000184792122895039524549040677037226033e-06
80,-9.9993575745556180121246386827138508124335e-07
81,-1.0000021035986882470252695709334034290805e-06
82,-1.0000184792122895039524549040677037226033e-06
83,-9.9995546134989349586186767326889679452506e-07
84,-1.0000382264277009458229746041713070781043e-06
85,-9.9993575745556180121246386827138508124335e-07
86,-1.0000021035986882470252695709334034290805e-06
87,-1.0000184792122895039524549040677037226033e-06
88,-9.9993575745556180121246386827138508124335e-07
89,-1.0000021035986882470252695709334034290805e-06
90,-1.0000184792122895039524549040677037226033e-06
91,-9.9993575745556180121246386827138508124335e-07
92,-1.0000021035986882470252695709334034290805e-06
93,-1.0000184792122895039524549040677037226033e-06
94,-9.9993575745556180121246386827138508124335e-07
95,-1.0000021035986882470252695709334034290805e-06
96,-1.0000184792122895039524549040677037226033e-06
97,-9.9995546134989349586186767326889679452506e-07
98,-1.0000382264277009458229746041713070781043e-06
99,-9.9993575745556180121246386827138508124335e-07
100,-1.0000021035986882470252695709334034290805e-06
101,-1.0000184792122895039524549040677037226033e-06
102,-9.9993575745556180121246386827138508124335e-07
103,-1.0000021035986882470252695709334034290805e-06
104,-1.0000184792122895039524549040677037226033e-06
105,-9.9995546134989349586186767326889679452506e-07
106,-9.9999384152251319108749977315753199036408e-07
