index,H
0,3.2247928008833363618520110749608718416252e-14
1,-6.2517230423183534071540634613484144210815e-01
2,-6.2517230423188274723855784031911753118038e-01
3,-6.2517230423192193811132710834499448537827e-01
4,-6.2517230423183534071540634613484144210815e-01
5,-6.2517230423188274723855784031911753118038e-01
6,-6.2517230423192193811132710834499448537827e-01
7,-6.2517230423183534071540634613484144210815e-01
8,-6.2517230423185798926510869932826608419418e-01
9,-6.2517230423183534071540634613484144210815e-01
10,-6.2517230423188274723855784031911753118038e-01
11,-6.2517230423192193811132710834499448537827e-01
12,-6.2517230423183534071540634613484144210815e-01
13,-6.2517230423188274723855784031911753118038e-01
14,-6.2517230423192193811132710834499448537827e-01
15,-6.2517230423183534071540634613484144210815e-01
16,-6.2517230423188274723855784031911753118038e-01
17,-6.2517230423192193811132710834499448537827e-01
18,-6.2517230423183534071540634613484144210815e-01
19,-6.2517230423188274723855784031911753118038e-01
20,-6.2517230423192193811132710834499448537827e-01
21,-6.2517230423183534071540634613484144210815e-01
22,-6.2517230423188274723855784031911753118038e-01
23,-6.2517230423192193811132710834499448537827e-01
24,-6.2517230423183534071540634613484144210815e-01
25,-6.2517230423188274723855784031911753118038e-01
26,-6.2517230423192193811132710834499448537827e-01
27,-6.2517230423183534071540634613484144210815e-01
28,-6.2517230423188274723855784031911753118038e-01
29,-6.2517230423192193811132710834499448537827e-01
30,-6.2517230423183534071540634613484144210815e-01
31,-6.2517230423185798926510869932826608419418e-01
32,-6.2517230423183534071540634613484144210815e-01
33,-6.2517230423188274723855784031911753118038e-01
34,-6.2517230423192193811132710834499448537827e-01
35,-6.2517230423183534071540634613484144210815e-01
36,-6.2517230423188274723855784031911753118038e-01
37,-6.2517230423192193811132710834499448537827e-01
38,-6.2517230423183534071540634613484144210815e-01
39,-6.2517230423188274723855784031911753118038e-01
40,-6.2517230423192193811132710834499448537827e-01
41,-6.2517230423183534071540634613484144210815e-01
42,-6.2517230423185798926510869932826608419418e-01
43,-6.2517230423183534071540634613484144210815e-01
44,-6.2517230423188274723855784031911753118038e-01
45,-6.2517230423192193811132710834499448537827e-01
46,-6.2517230423183534071540634613484144210815e-01
47,-6.2517230423188274723855784031911753118038e-01
48,-6.2517230423192193811132710834499448537827e-01
49,-6.2517230423183534071540634613484144210815e-01
50,-6.2517230423188274723855784031911753118038e-01
51,-6.2517230423192193811132710834499448537827e-01
52,-6.2517230423183534071540634613484144210815e-01
53,-6.2517230423188274723855784031911753118038e-01
54,-6.2517230423192193811132710834499448537827e-01
55,-6.2517230423183534071540634613484144210815e-01
56,-6.2517230423188274723855784031911753118038e-01
57,-6.2517230423192193811132710834499448537827e-01
58,-6.2517230423183534071540634613484144210815e-01
59,-6.2517230423188274723855784031911753118038e-01
60,-6.2517230423192193811132710834499448537827e-01
61,-6.2517230423183534071540634613484144210815e-01
62,-6.2517230423188274723855784031911753118038e-01
63,-6.2517230423192193811132710834499448537827e-01
64,-6.2517230423183534071540634613484144210815e-01
65,-6.2517230423188274723855784031911753118038e-01
66,-6.2517230423192193811132710834499448537827e-01
67,-6.2517230423183534071540634613484144210815e-01
68,-6.2517230423188274723855784031911753118038e-01
69,-6.2517230423192193811132710834499448537827e-01
70,-6.2517230423183534071540634613484144210815e-01
71,-6.2517230423185798926510869932826608419418e-01
72,-6.2517230423183534071540634613484144210815e-01
73,-6.2517230423188274723855784031911753118038e-01
74,-6.2517230423192193811132710834499448537827e-01
75,-6.2517230423183534071540634613484144210815e-01
76,-6.2517230423185798926510869932826608419418e-01
77,-6.2517230423183534071540634613484144210815e-01
