index,H
0,1.0000000000000102140518265514401718974113e+00
1,1.0000000000000204281036531028803437948227e+00
2,9.9999999999990729637744379942887462675571e-01
3,1.0000000000000182076576038525672629475594e+00
4,9.9999999999999245048343254893552511930466e-01
5,9.9999999999999900079927783735911361873150e-01
6,9.9999999999999245048343254893552511930466e-01
7,9.9999999999998978594817344855982810258865e-01
8,1.0000000000000128785870856518158689141273e+00
9,1.0000000000000128785870856518158689141273e+00
10,1.0000000000000128785870856518158689141273e+00
11,9.9999999999999344968415471157641150057316e-01
12,1.0000003582653798073209827634855173528194e+00
13,1.0000002291053828873401698729139752686024e+00
14,1.0000001225618475597656242825905792415142e+00
15,1.0000000503028614318168365571182221174240e+00
16,1.0000000116801412985978458891622722148895e+00
17,1.0000000000000071054273576010018587112427e+00
18,1.0000000116801786020914732944220304489136e+00
19,1.0000000503028139142713826004182919859886e+00
20,1.0000001225618704303599315608153119683266e+00
21,1.0000002291053646796825660203467123210430e+00
22,1.0000003582653824718562418638612143695354e+00
23,1.0000003582654586331557311495998874306679e+00
24,1.0000002291054275183057598042069002985954e+00
25,1.0000001225618697642261167857213877141476e+00
26,1.0000000503028450005160721048014238476753e+00
27,1.0000000116801581739878201915416866540909e+00
28,1.0000000000000048849813083506887778639793e+00
29,1.0000000116801643912367580924183130264282e+00
30,1.0000000503028247944570239269523881375790e+00
31,1.0000001225618320166432795303990133106709e+00
32,1.0000002291053906589013422490097582340240e+00
33,1.0000003582653864686591305144247598946095e+00
34,1.0000003582653924638634634902700781822205e+00
35,1.0000002291053480263371966429986059665680e+00
36,1.0000001225618977418463373396662063896656e+00
37,1.0000000503028203535649254263262264430523e+00
38,1.0000000116801839311619914951734244823456e+00
39,9.9999999999999178434961777384160086512566e-01
40,1.0000000116801532890065118408529087901115e+00
41,1.0000000503028407816685785292065702378750e+00
42,1.0000001225618568856390311339055188000202e+00
43,1.0000002291053793346264910724130459129810e+00
44,1.0000003582654424238995716223143972456455e+00
45,1.0000003582653798073209827634855173528194e+00
46,1.0000002291053828873401698729139752686024e+00
47,1.0000001225618475597656242825905792415142e+00
48,1.0000000503028614318168365571182221174240e+00
49,1.0000000116801412985978458891622722148895e+00
50,1.0000000000000071054273576010018587112427e+00
51,1.0000000116801786020914732944220304489136e+00
52,1.0000000503028139142713826004182919859886e+00
53,1.0000001225618704303599315608153119683266e+00
54,1.0000002291053646796825660203467123210430e+00
55,1.0000003582653824718562418638612143695354e+00
56,1.0000003582653951283987225906457751989365e+00
57,1.0000002291053311509472223406191915273666e+00
58,1.0000001225618690980923020106274634599686e+00
59,1.0000000503028294573937273526098579168320e+00
60,1.0000000116802076899347184735233895480633e+00
61,1.0000000000000150990331349021289497613907e+00
62,1.0000000116801690541734615180757828056812e+00
63,1.0000000503028412257577883792691864073277e+00
64,1.0000001225618686540030921605648472905159e+00
