index,H
0,1.0000000000000144328993201270350255072117e+00
1,1.0000000000000122124532708767219446599483e+00
2,1.0000000000000093258734068513149395585060e+00
3,1.0000000000000150990331349021289497613907e+00
4,1.0000000000000079936057773011270910501480e+00
5,1.0000000000000071054273576010018587112427e+00
6,1.0000000000000146549439250520663335919380e+00
7,1.0000000000000246469511466784751974046230e+00
8,1.0000000000000108801856413265340961515903e+00
9,1.0000000000000128785870856518158689141273e+00
10,9.9999999999999700239783351207734085619450e-01
11,9.9999999999999733546474089962430298328400e-01
12,1.0000190051761064236046649966738186776638e+00
13,1.0000063226577660113747469949885271489620e+00
14,1.0000000000000039968028886505635455250740e+00
15,1.0000063226577744490697341461782343685627e+00
16,1.0000190051760997622665172457345761358738e+00
17,1.0000190051761010945341467959224246442318e+00
18,1.0000063226577733388467095210216939449310e+00
19,1.0000000000000013322676295501878485083580e+00
20,1.0000063226577700081776356455520726740360e+00
21,1.0000190051761019827125664960476569831371e+00
22,1.0000190051760997622665172457345761358738e+00
23,1.0000063226577662334193519200198352336884e+00
24,9.9999999999999666933092612453037872910500e-01
25,1.0000063226577784458726227967417798936367e+00
26,1.0000190051760948772852088950457982718945e+00
27,1.0000190051761064236046649966738186776638e+00
28,1.0000063226577660113747469949885271489620e+00
29,1.0000000000000039968028886505635455250740e+00
30,1.0000063226577744490697341461782343685627e+00
31,1.0000190051760986520434926205780357122421e+00
32,1.0000190051760979859096778454841114580631e+00
33,1.0000063226577813324524868221487849950790e+00
34,1.0000000000000057731597280508140102028847e+00
35,1.0000063226577675656869814702076837420464e+00
36,1.0000190051760906584377153194509446620941e+00
37,1.0000190051760966536420482952962629497051e+00
38,1.0000063226577642350179075947380624711514e+00
39,9.9999999999999533706329657434253022074699e-01
40,1.0000063226577762254265735464286990463734e+00
41,1.0000190051761033149801960462355054914951e+00
42,1.0000190051760924347945547197014093399048e+00
43,1.0000063226577837749431409974931739270687e+00
44,1.0000000000000059952043329758453182876110e+00
45,1.0000063226577566855013401436735875904560e+00
46,1.0000190051761057574708502215798944234848e+00
47,1.0000190051760922127499497946701012551785e+00
48,1.0000063226577640129733026697067543864250e+00
49,9.9999999999999622524171627446776255965233e-01
50,1.0000063226577644570625125197693705558777e+00
51,1.0000190051761159715226767730200663208961e+00
52,1.0000190051760922127499497946701012551785e+00
53,1.0000063226577640129733026697067543864250e+00
54,9.9999999999999622524171627446776255965233e-01
55,1.0000063226577644570625125197693705558777e+00
56,1.0000190051761159715226767730200663208961e+00
57,1.0000190051760919907053448696387931704521e+00
58,1.0000063226577748931589439962408505380154e+00
59,9.9999999999998612221219218554324470460415e-01
60,1.0000063226577675656869814702076837420464e+00
61,1.0000190051761024268017763461102731525898e+00
62,1.0000190051760924347945547197014093399048e+00
63,1.0000063226577837749431409974931739270687e+00
64,1.0000000000000059952043329758453182876110e+00
65,1.0000063226577566855013401436735875904560e+00
66,1.0000190051761048692924305214546620845795e+00
67,1.0000190051761141951658373727696016430855e+00
68,1.0000063226577724506682898208964616060257e+00
69,1.0000000000000086597395920762210153043270e+00
70,1.0000063226577766695157833964913152158260e+00
71,1.0000190051760968756866532203275710344315e+00
72,1.0000190051761037590694058962981216609478e+00
73,1.0000063226577868835676099479314871132374e+00
74,9.9999999999999855671006798729649744927883e-01
75,1.0000063226577666775085617700824514031410e+00
76,1.0000190051761037590694058962981216609478e+00
77,1.0000190051760973197758630703901872038841e+00
78,1.0000063226577595720812041690805926918983e+00
79,1.0000000000000057731597280508140102028847e+00
80,1.0000063226577684538654011703329160809517e+00
81,1.0000190051760966536420482952962629497051e+00
82,1.0000190051760808884750986180733889341354e+00
83,1.0000063226577602382150189441745169460773e+00
84,9.9999999999999933386618522490607574582100e-01
85,1.0000063226577757813373636963660828769207e+00
86,1.0000190051760879939024562190752476453781e+00
87,1.0000190051761095322291339471121318638325e+00
88,1.0000063226577724506682898208964616060257e+00
