index,H
0,9.9999999999998023803016167221358045935631e-01
1,9.9999999999992694732497966469964012503624e-01
2,9.9999999999998268052081584755796939134598e-01
3,1.0000000000000055511151231257827021181583e+00
4,9.9999999999989974686087634836439974606037e-01
5,9.9999999999988542498385868384502828121185e-01
6,9.9999999999998157029779122240142896771431e-01
7,9.9999999999996713739847109536640346050262e-01
8,1.0000000000000244249065417534438893198967e+00
9,1.0000000000000128785870856518158689141273e+00
10,1.0000000000000579536418854331714101135731e+00
11,9.9999999999996402877400214492809027433395e-01
12,1.0000000000255442333951805267133750021458e+00
13,1.0000000009284364388406629586825147271156e+00
14,1.0000000035459419844841022495529614388943e+00
15,1.0000000062592917515758017543703317642212e+00
16,1.0000000075118635756155072158435359597206e+00
17,1.0000000065537444360330709969275631010532e+00
18,1.0000000039103311699761889030924066901207e+00
19,1.0000000011595608917502886470174416899681e+00
20,9.9999999999999966693309261245303787291050e-01
21,1.0000000011595715498913250485202297568321e+00
22,1.0000000039103393856265711292508058249950e+00
23,1.0000000065536511772990024837781675159931e+00
24,1.0000000075118649078831367660313844680786e+00
25,1.0000000062593501493068970376043580472469e+00
26,1.0000000035459226666034737718291580677032e+00
27,1.0000000009284211177629231315222568809986e+00
28,1.0000000000253830290120049539837054908276e+00
29,1.0000000000254010146250038815196603536606e+00
30,1.0000000009283858126707400515442714095116e+00
31,1.0000000035459979397245433574425987899303e+00
32,1.0000000062593306093816636348492465913296e+00
33,1.0000000075119028775105789463850669562817e+00
34,1.0000000065535812332484510989161208271980e+00
35,1.0000000039103580373733848318806849420071e+00
36,1.0000000011595657767315969977062195539474e+00
37,9.9999999999996458388551445750636048614979e-01
38,1.0000000011596690274728871372644789516926e+00
39,1.0000000039103196236567328014643862843513e+00
40,1.0000000065536642779306930606253445148468e+00
41,1.0000000075119224174358123491401784121990e+00
42,1.0000000062592944161110608547460287809372e+00
43,1.0000000035458918024033891924773342907429e+00
44,1.0000000009283542823368406970985233783722e+00
45,1.0000000000253825849227951039210893213749e+00
46,1.0000000000252906584563561409595422446728e+00
47,1.0000000009286016400267271819757297635078e+00
48,1.0000000035459244429603131720796227455139e+00
49,1.0000000062593725758119944657664746046066e+00
50,1.0000000075117962961002149313571862876415e+00
51,1.0000000065536580606817551597487181425095e+00
52,1.0000000039102954207947959730518050491810e+00
53,1.0000000011595564508581901463912799954414e+00
54,1.0000000000000268673971959287882782518864e+00
55,1.0000000011595595594826590968295931816101e+00
56,1.0000000039103420501618302296265028417110e+00
57,1.0000000065537377746949232459883205592632e+00
58,1.0000000075119481746099836527719162404537e+00
59,1.0000000062592930838434313045581802725792e+00
60,1.0000000035459926106540251566912047564983e+00
