index,H
0,9.9999999999999733546474089962430298328400e-01
1,1.0000000000000257571741713036317378282547e+00
2,9.9999999999999811262085813723388127982616e-01
3,9.9999999999999367172875963660771958529949e-01
4,1.0000000000000273114864057788508944213390e+00
5,9.9999999999999500399638918679556809365749e-01
6,1.0000000000000273114864057788508944213390e+00
7,1.0000000000000277555756156289135105907917e+00
8,1.0000000000000124344978758017532527446747e+00
9,1.0000000000000124344978758017532527446747e+00
10,1.0000000000000124344978758017532527446747e+00
11,1.0000000000000226485497023531934246420860e+00
12,1.0000046628574204010675430254195816814899e+00
13,1.0000025593789949596157384803518652915955e+00
14,1.0000007213840418351935568352928385138512e+00
15,1.0000000000000044408920985006261616945267e+00
16,1.0000007213840447217734208606998436152935e+00
17,1.0000025593790125011395275578252039849758e+00
18,1.0000046628573833196185205451911315321922e+00
19,1.0000046628574401630373813532060012221336e+00
20,1.0000025593790109468272930826060473918915e+00
21,1.0000007213840287345618662584456615149975e+00
22,1.0000000000000024424906541753443889319897e+00
23,1.0000007213840325093201499839778989553452e+00
24,1.0000025593790067279797995070111937820911e+00
25,1.0000046628574019713653342478210106492043e+00
26,1.0000046628574084106588770737289451062679e+00
27,1.0000025593789911848574547548196278512478e+00
28,1.0000007213840238495805579077568836510181e+00
29,9.9999999999999711342013597459299489855766e-01
30,1.0000007213840085285028180805966258049011e+00
31,1.0000025593790080602474290571990422904491e+00
32,1.0000046628574115192833460241672582924366e+00
33,1.0000046628574204010675430254195816814899e+00
34,1.0000025593789949596157384803518652915955e+00
35,1.0000007213840418351935568352928385138512e+00
36,1.0000000000000044408920985006261616945267e+00
37,1.0000007213840447217734208606998436152935e+00
38,1.0000025593790125011395275578252039849758e+00
39,1.0000046628573813212170762199093587696552e+00
40,1.0000046628574212892459627255448140203953e+00
41,1.0000025593790231592805639593279920518398e+00
42,1.0000007213840351738554090843535959720612e+00
43,9.9999999999999733546474089962430298328400e-01
44,1.0000007213840387265690878848545253276825e+00
45,1.0000025593790009548200714561971835792065e+00
46,1.0000046628574190687999134752317331731319e+00
47,1.0000046628574019713653342478210106492043e+00
48,1.0000025593790222711021442592027597129345e+00
49,1.0000007213840331754539647590718232095242e+00
50,9.9999999999999800159855567471822723746300e-01
51,1.0000007213840398367921125100110657513142e+00
52,1.0000025593789987343740222058841027319431e+00
53,1.0000046628574152940416297496994957327843e+00
54,1.0000046628573973084286308221635408699512e+00
55,1.0000025593790324851539708106429316103458e+00
56,1.0000007213840329534093598340405151247978e+00
57,9.9999999999999888977697537484345957636833e-01
58,1.0000007213840385045244829598232172429562e+00
59,1.0000025593789996225524419060093350708485e+00
