index,H
0,1.0000000000000819344592173365526832640171e+00
1,1.0000000000000410782519111307919956743717e+00
2,9.9999999999987532195433459492051042616367e-01
3,1.0000000000001065814103640150278806686401e+00
4,9.9999999999984356957583031544345431029797e-01
5,1.0000000000001767475055203249212354421616e+00
6,9.9999999999984356957583031544345431029797e-01
7,9.9999999999985766940824305493151769042015e-01
8,9.9999999999993016697175107765360735356808e-01
9,1.0000000000000317523785042794770561158657e+00
10,9.9999999999998989697047591107548214495182e-01
11,9.9999999999989097609898180962773039937019e-01
12,1.0000000212950315159332603798247873783112e+00
13,1.0000000268813524773037215709337033331394e+00
14,1.0000000315769952408118115272372961044312e+00
15,1.0000000345869093365536173223517835140228e+00
16,1.0000000352278508586323368945159018039703e+00
17,1.0000000331137124387481662779464386403561e+00
18,1.0000000283254300015300941595342010259628e+00
19,1.0000000215067812447955475363414734601974e+00
20,1.0000000138226790014073230850044637918472e+00
21,1.0000000067590908425785301005817018449306e+00
22,1.0000000017896917281490232198848389089108e+00
23,9.9999999999978295139868578189634718000889e-01
24,1.0000000017896693016439257917227223515511e+00
25,1.0000000067590475438805697194766253232956e+00
26,1.0000000138225932921898220229195430874825e+00
27,1.0000000215068585163180614472366869449615e+00
28,1.0000000283256231803363789367722347378731e+00
29,1.0000000331135978637320249617914669215679e+00
30,1.0000000352278806126093968487111851572990e+00
31,1.0000000345868060858123271827935241162777e+00
32,1.0000000315770973813300770416390150785446e+00
33,1.0000000268812139214702483513974584639072e+00
34,1.0000000212953576994578952508163638412952e+00
35,1.0000000212952080413941757797147147357464e+00
36,1.0000000268811450876427215916919521987438e+00
37,1.0000000315770125602909956796793267130852e+00
38,1.0000000345867752216122426034417003393173e+00
39,1.0000000352279141413447405284387059509754e+00
40,1.0000000331134839548496984207304194569588e+00
41,1.0000000283254721900050299154827371239662e+00
42,1.0000000215066080500037060119211673736572e+00
43,1.0000000138225650925249965439434163272381e+00
44,1.0000000067590142371898309647804126143456e+00
45,1.0000000017896517601201367142493836581707e+00
46,9.9999999999984123810747860261471942067146e-01
47,1.0000000017897308079994900253950618207455e+00
48,1.0000000067590053554056339635280892252922e+00
49,1.0000000138226698975785211587208323180676e+00
50,1.0000000215065409925330186524661257863045e+00
51,1.0000000283253398514204945968231186270714e+00
52,1.0000000331135030506857219734229147434235e+00
53,1.0000000352279321269577394559746608138084e+00
54,1.0000000345867190443271965705207549035549e+00
55,1.0000000315768942105165706379921175539494e+00
56,1.0000000268810806947072933326126076281071e+00
57,1.0000000212953785716507582037593238055706e+00
58,1.0000000212949833322539916480309329926968e+00
59,1.0000000268815090187501937180059030652046e+00
60,1.0000000315769446146418886200990527868271e+00
61,1.0000000345869417550659363769227638840675e+00
62,1.0000000352278521908999664447037503123283e+00
63,1.0000000331135179276742519505205564200878e+00
64,1.0000000283253318578147172956960275769234e+00
65,1.0000000215067401665436364055494777858257e+00
66,1.0000000138224027779187963460572063922882e+00
67,1.0000000067591077179685044029611162841320e+00
68,1.0000000017896351067747673369012773036957e+00
69,9.9999999999996380672939721989678218960762e-01
70,1.0000000017896413240237052377779036760330e+00
71,1.0000000067590875119094562251120805740356e+00
72,1.0000000138224711676571132557000964879990e+00
73,1.0000000215069599907025121865444816648960e+00
74,1.0000000283253864807875288533978164196014e+00
75,1.0000000331135490139189414549036882817745e+00
76,1.0000000352279947435363283148035407066345e+00
77,1.0000000345870501128331397922011092305183e+00
78,1.0000000315769259628950749174691736698151e+00
79,1.0000000268813651338462022977182641625404e+00
80,1.0000000212951243305781190429115667939186e+00
81,1.0000000212950315159332603798247873783112e+00
82,1.0000000268813524773037215709337033331394e+00
83,1.0000000315769952408118115272372961044312e+00
84,1.0000000345869093365536173223517835140228e+00
85,1.0000000352278508586323368945159018039703e+00
86,1.0000000331137124387481662779464386403561e+00
87,1.0000000283254300015300941595342010259628e+00
88,1.0000000215067812447955475363414734601974e+00
89,1.0000000138226790014073230850044637918472e+00
90,1.0000000067590908425785301005817018449306e+00
91,1.0000000017896917281490232198848389089108e+00
92,9.9999999999978295139868578189634718000889e-01
93,1.0000000017896693016439257917227223515511e+00
94,1.0000000067590475438805697194766253232956e+00
95,1.0000000138225932921898220229195430874825e+00
96,1.0000000215068585163180614472366869449615e+00
97,1.0000000283256231803363789367722347378731e+00
98,1.0000000331135978637320249617914669215679e+00
99,1.0000000352278806126093968487111851572990e+00
100,1.0000000345868060858123271827935241162777e+00
101,1.0000000315770973813300770416390150785446e+00
102,1.0000000268812139214702483513974584639072e+00
103,1.0000000212954052170033492075162939727306e+00
104,1.0000000212951851707998685014899820089340e+00
105,1.0000000268813051818028725392650812864304e+00
106,1.0000000315769956849010213772999122738838e+00
107,1.0000000345867654516496259020641446113586e+00
108,1.0000000352279163617907897787517867982388e+00
109,1.0000000331135940889737412362592294812202e+00
110,1.0000000283254162347645888075930997729301e+00
111,1.0000000215067432751681053559877909719944e+00
112,1.0000000138227378432276282183011062443256e+00
113,1.0000000067588918906125172725296579301357e+00
